name,iso3,year,percent,residence,indicator,pop,region,income_id
Croatia,HRV,2000,77.87473814625339,national,Safely managed,4428075.1953125,Europe & Central Asia,HIC
Croatia,HRV,2010,78.4572064695551,national,Safely managed,4328163.0859375,Europe & Central Asia,HIC
Croatia,HRV,2020,67.78555485045831,national,Safely managed,4105268.06640625,Europe & Central Asia,HIC
Cuba,CUB,2000,40.3663036642403,national,Safely managed,11126422.8515625,Latin America & Caribbean,UMC
Cuba,CUB,2010,37.9582213085874,national,Safely managed,11225833.0078125,Latin America & Caribbean,UMC
Cuba,CUB,2020,36.63753198569273,national,Safely managed,11326616.2109375,Latin America & Caribbean,UMC
Curaçao,CUW,2000,NA,national,Safely managed,132147.0031738281,Latin America & Caribbean,HIC
Curaçao,CUW,2010,NA,national,Safely managed,149188.0035400391,Latin America & Caribbean,HIC
Curaçao,CUW,2020,NA,national,Safely managed,164100.0061035156,Latin America & Caribbean,HIC
Cyprus,CYP,2000,76.13447378706671,national,Safely managed,943288.02490234375,Europe & Central Asia,HIC
Cyprus,CYP,2010,76.5324497171764,national,Safely managed,1112616.943359375,Europe & Central Asia,HIC
Cyprus,CYP,2020,77.0844042919295,national,Safely managed,1207360.961914063,Europe & Central Asia,HIC
Czech Republic,CZE,2000,66.95266478847125,national,Safely managed,10289374.0234375,Europe & Central Asia,HIC
Czech Republic,CZE,2010,76.18771715667421,national,Safely managed,10536513.671875,Europe & Central Asia,HIC
Czech Republic,CZE,2020,85.20441770013458,national,Safely managed,10708982.421875,Europe & Central Asia,HIC
Democratic People's Republic of Korea,PRK,2000,NA,national,Safely managed,22929078.125,East Asia & Pacific,LIC
Democratic People's Republic of Korea,PRK,2010,NA,national,Safely managed,24548839.84375,East Asia & Pacific,LIC
Democratic People's Republic of Korea,PRK,2020,NA,national,Safely managed,25778814.453125,East Asia & Pacific,LIC
Democratic Republic of the Congo,COD,2000,22.25010663907918,national,Safely managed,47105828.125,Sub-Saharan Africa,LIC
Democratic Republic of the Congo,COD,2010,17.6304709968621,national,Safely managed,64563851.5625,Sub-Saharan Africa,LIC
Democratic Republic of the Congo,COD,2020,12.69102623173899,national,Safely managed,89561406.25,Sub-Saharan Africa,LIC
Denmark,DNK,2000,86.80214186586359,national,Safely managed,5341191.89453125,Europe & Central Asia,HIC
Denmark,DNK,2010,88.15870079798015,national,Safely managed,5554849.12109375,Europe & Central Asia,HIC
Denmark,DNK,2020,91.88920328996599,national,Safely managed,5792203.125,Europe & Central Asia,HIC
Djibouti,DJI,2000,24.85121412189512,national,Safely managed,717577.0263671875,Middle East & North Africa,LMC
Djibouti,DJI,2010,29.77494808748327,national,Safely managed,840193.9697265625,Middle East & North Africa,LMC
Djibouti,DJI,2020,37.08001590531707,national,Safely managed,988002.01416015625,Middle East & North Africa,LMC
Dominica,DMA,2000,NA,national,Safely managed,69650.0015258789,Latin America & Caribbean,UMC
Dominica,DMA,2010,NA,national,Safely managed,70876.99890136719,Latin America & Caribbean,UMC
Dominica,DMA,2020,NA,national,Safely managed,71990.997314453125,Latin America & Caribbean,UMC
Dominican Republic,DOM,2000,NA,national,Safely managed,8471317.3828125,Latin America & Caribbean,UMC
Dominican Republic,DOM,2010,NA,national,Safely managed,9695117.1875,Latin America & Caribbean,UMC
Dominican Republic,DOM,2020,NA,national,Safely managed,10847904.296875,Latin America & Caribbean,UMC
Ecuador,ECU,2000,39.93561000204864,national,Safely managed,12681123.046875,Latin America & Caribbean,UMC
Ecuador,ECU,2010,41.03788242926505,national,Safely managed,15011114.2578125,Latin America & Caribbean,UMC
Ecuador,ECU,2020,41.63194052300025,national,Safely managed,17643060.546875,Latin America & Caribbean,UMC
Egypt,EGY,2000,54.1566090210363,national,Safely managed,68831562.5,Middle East & North Africa,LMC
Egypt,EGY,2010,59.14712972232811,national,Safely managed,82761242.1875,Middle East & North Africa,LMC
Egypt,EGY,2020,67.06102993356461,national,Safely managed,102334406.25,Middle East & North Africa,LMC
El Salvador,SLV,2000,NA,national,Safely managed,5887930.17578125,Latin America & Caribbean,LMC
El Salvador,SLV,2010,NA,national,Safely managed,6183876.953125,Latin America & Caribbean,LMC
El Salvador,SLV,2020,NA,national,Safely managed,6486201.171875,Latin America & Caribbean,LMC
Equatorial Guinea,GNQ,2000,NA,national,Safely managed,606179.99267578125,Sub-Saharan Africa,UMC
Equatorial Guinea,GNQ,2010,NA,national,Safely managed,943640.0146484375,Sub-Saharan Africa,UMC
Equatorial Guinea,GNQ,2020,NA,national,Safely managed,1402984.985351563,Sub-Saharan Africa,UMC
Eritrea,ERI,2000,NA,national,Safely managed,2292413.0859375,Sub-Saharan Africa,LIC
Eritrea,ERI,2010,NA,national,Safely managed,3170437.01171875,Sub-Saharan Africa,LIC
Eritrea,ERI,2020,NA,national,Safely managed,3546427.001953125,Sub-Saharan Africa,LIC
Estonia,EST,2000,92.5673505618956,national,Safely managed,1399110.961914063,Europe & Central Asia,HIC
Estonia,EST,2010,92.69742931759154,national,Safely managed,1332103.02734375,Europe & Central Asia,HIC
Estonia,EST,2020,93.06072860507174,national,Safely managed,1326538.940429688,Europe & Central Asia,HIC
Eswatini,SWZ,2000,NA,national,Safely managed,1005432.006835938,Sub-Saharan Africa,LMC
Eswatini,SWZ,2010,NA,national,Safely managed,1064840.942382813,Sub-Saharan Africa,LMC
Eswatini,SWZ,2020,NA,national,Safely managed,1160163.940429688,Sub-Saharan Africa,LMC
Ethiopia,ETH,2000,2.116906837281577,national,Safely managed,66224812.5,Sub-Saharan Africa,LIC
Ethiopia,ETH,2010,4.54242330035617,national,Safely managed,87639960.9375,Sub-Saharan Africa,LIC
Ethiopia,ETH,2020,6.679274945284962,national,Safely managed,114963585.9375,Sub-Saharan Africa,LIC
Faeroe Islands,FRO,2000,NA,national,Safely managed,46737.99896240234,Europe & Central Asia,HIC
Faeroe Islands,FRO,2010,NA,national,Safely managed,47803.00140380859,Europe & Central Asia,HIC
Faeroe Islands,FRO,2020,NA,national,Safely managed,48865.0016784668,Europe & Central Asia,HIC
Falkland Islands (Malvinas),FLK,2000,NA,national,Safely managed,2892.999887466431,NA,NA
Falkland Islands (Malvinas),FLK,2010,NA,national,Safely managed,2901.999950408936,NA,NA
Falkland Islands (Malvinas),FLK,2020,NA,national,Safely managed,3483.000040054321,NA,NA
Fiji,FJI,2000,NA,national,Safely managed,811010.986328125,East Asia & Pacific,UMC
Fiji,FJI,2010,NA,national,Safely managed,859815.97900390625,East Asia & Pacific,UMC
Fiji,FJI,2020,NA,national,Safely managed,896443.9697265625,East Asia & Pacific,UMC
Finland,FIN,2000,79.98952889006416,national,Safely managed,5187953.125,Europe & Central Asia,HIC
Finland,FIN,2010,82.55851739777285,national,Safely managed,5365784.1796875,Europe & Central Asia,HIC
Finland,FIN,2020,84.09986144145343,national,Safely managed,5540717.7734375,Europe & Central Asia,HIC
France,FRA,2000,79.2359205457015,national,Safely managed,59015093.75,Europe & Central Asia,HIC
France,FRA,2010,78.92085652327334,national,Safely managed,62879535.15625,Europe & Central Asia,HIC
France,FRA,2020,78.58847669673597,national,Safely managed,65273511.71875,Europe & Central Asia,HIC
French Guiana,GUF,2000,NA,national,Safely managed,163162.9943847656,NA,NA
French Guiana,GUF,2010,NA,national,Safely managed,232996.0021972656,NA,NA
French Guiana,GUF,2020,NA,national,Safely managed,298682.0068359375,NA,NA
